id,year,zip_code,city,state,climate,building_class,facility_type,floor_area,year_built,energy_star_rating,leed_score,electric_eui,fuel_eui,site_eui,source_eui,ghg_emissions_int
104,2015,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,65127,1962,,,55.62473637,22.45504863,,201.0645627,
104,2016,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,65127,1962,,,57.49572322,,120.490482,256.1302815,
104,2017,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,65127,1962,,,60.35675069,28.27753006,88.63428075,223.4532332,
104,2018,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,65127,1962,,,58.8063107,31.44701175,90.25332245,222.3882297,
104,2019,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,65127,1962,,,53.75870174,44.64555658,98.40425832,222.3769914,
104,2020,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,65127,1962,,,34.08167505,28.27605601,62.35773106,140.9477269,
104,2021,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,65127,1962,0,,40.95877802,28.58476515,69.54354318,162.9122812,
106,2015,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,396085,1938,,,20.09774124,48.39542968,68.49317091,117.0285995,
106,2016,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,396085,1938,,,18.2568852,,42.88991698,86.88625765,
106,2017,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,396085,1938,,,16.85188799,42.74563288,59.59752087,104.2096877,
106,2018,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,396085,1938,,,16.52425538,25.33332976,41.85758514,82.28615759,
106,2019,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,396085,1938,,,16.5228758,18.25475479,34.7776306,73.78753578,
106,2020,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,396085,1938,,,,13.42502655,20.4145369,38.05709437,
106,2021,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,396085,1938,0,,11.11545191,,16.01485481,40.78180248,
107,2015,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,571329,2010,89,,59.90441443,13.12517752,73.02959195,201.8812977,6.938394074
107,2016,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,571329,2010,91,,56.2175389,12.91571032,69.13324922,190.084568,5.583865298
107,2017,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,571329,2010,92,,55.69511754,12.69273755,68.38785508,188.2100435,5.481925023
107,2018,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,571329,2010,88,,53.71841381,12.09783089,65.8162447,181.3785418,5.238293276
107,2019,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,571329,2010,88,,53.327544,11.27214688,64.59969088,179.2842424,5.701908104
107,2021,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,571329,2010,85,,44.26667695,,45.96153228,140.7769637,3.847456456
11,2015,98101,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Uncategorized,102761,1926,,,39.95061596,22.57693276,62.52754872,152.076781,5.620888361
11,2016,98101,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Uncategorized,102761,1926,,,35.30544944,25.84632752,61.15177696,141.3138314,4.742454561
11,2017,98101,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Uncategorized,102761,1926,,,39.40500249,32.16862013,71.57362262,161.7186609,5.483052915
11,2018,98101,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Uncategorized,102761,1926,,,42.12671568,24.57118895,66.69790463,161.1221708,5.178774516
11,2019,98101,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Uncategorized,102761,1926,,,41.21793552,30.14297026,71.36090578,164.8752649,5.880974799
11,2020,98101,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Uncategorized,102761,1926,,,25.36441758,25.01658126,50.38099884,109.0479945,3.642362912
11,2021,98101,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Uncategorized,102761,1926,0,,25.19533394,,70.67555503,133.0692131,5.103548724
110,2015,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Social/meeting,52000,1962,,,22.12092869,28.4883965,50.60932519,102.3530988,
110,2016,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Social/meeting,52000,1962,,,24.81214585,23.05883616,47.87098202,105.5807414,
110,2017,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Social/meeting,52000,1962,,,27.38127399,22.78761907,50.16889307,113.3223432,
110,2018,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Social/meeting,52000,1962,,,36.59163673,14.11491939,50.70655612,131.8356426,
110,2019,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Social/meeting,52000,1962,,,45.59795693,,72.16630698,175.0596048,
110,2020,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Social/meeting,52000,1962,,,40.35086827,,100.6886362,199.1070479,
111,2015,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,60696,1928,,,15.23785088,0,15.23785088,47.84685175,1.588267442
111,2016,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,60696,1928,,,14.39280771,0,14.39280771,45.1934162,1.253994112
111,2017,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,60696,1928,,,,0,4.566154488,,0.394177429
112,2015,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Drama theater,262048,1928,,,53.35252936,26.08296028,79.43548963,196.5915717,
112,2016,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Drama theater,262048,1928,,,51.43233388,19.56570759,70.99804147,184.9755769,
112,2017,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Drama theater,262048,1928,,,53.40805674,25.07746058,78.48551732,197.501937,
112,2018,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Drama theater,262048,1928,,,53.99221798,23.71914937,77.71136735,197.6662732,
112,2019,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Drama theater,262048,1928,,,46.80992218,23.56660046,70.37652264,174.9840939,
112,2020,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Public Assembly - Drama theater,262048,1928,,,31.5639449,18.77506653,50.33901143,121.5059818,
113,2015,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,63888,1986,,,67.76212063,0,67.76212063,212.7730588,7.059858219
113,2016,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,63888,1986,,,65.04862279,0,65.04862279,204.2526756,5.667303158
113,2017,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,63888,1986,,,69.22470192,0,69.22470192,217.365564,5.975737763
113,2018,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,63888,1986,,,67.21405759,0,67.21405759,211.0521408,5.750297495
113,2019,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,63888,1986,,,64.2117759,0,64.2117759,201.6249763,6.14256871
113,2020,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,63888,1986,,,53.34798004,0,53.34798004,167.5126573,4.281933492
113,2021,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Commercial - Other,63888,1986,0,,46.74457689,0,46.74457689,146.7779714,3.967771715
114,2015,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,616891,2010,93,,46.16333432,13.29892263,59.46225695,158.9167385,5.515845777
114,2016,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,616891,2010,93,,44.61625216,14.67107429,59.28732645,155.4996598,4.666337676
114,2017,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,616891,2010,93,,44.83557706,17.88230243,62.71787949,159.5601295,4.820104952
114,2018,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,616891,2010,83,,43.7679263,15.26024493,59.02817123,153.4545458,4.554940798
114,2019,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,616891,2010,82,,43.07853666,19.43117621,62.50971287,155.6693401,5.152924036
114,2020,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,616891,2010,87,,35.92416305,24.5762984,60.50046145,138.6069853,4.188671788
114,2021,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,616891,2010,82,,40.39113417,28.4694395,68.86057367,156.7210728,4.94049092
115,2015,98119,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,50283,1970,72,,55.88704504,9.83226023,65.71930527,185.8091947,6.344386214
115,2016,98119,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,50283,1970,68,,58.39858499,10.5586329,68.9572179,194.4581214,5.648706718
115,2017,98119,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,50283,1970,71,,56.13132789,,72.84808138,193.8049607,5.733304802
115,2018,98119,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,50283,1970,63,,50.03903716,13.31170261,63.35073977,171.0998644,4.98782878
115,2019,98119,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,50283,1970,70,,44.37398499,16.08328717,60.45727216,156.2217644,5.098959431
115,2020,98119,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,50283,1970,76,,38.94517973,17.46542439,56.41060412,140.62656,4.053492787
115,2021,98119,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Office - Uncategorized,50283,1970,73,,39.98785417,23.14698805,63.13484222,149.8661996,4.623584324
116,2015,98109,Seattle,WA,4C Mixed - Marine (Salem-OR),Commercial,Lodging - Hotel,81560,2002,52,,34.56804402,27.49459651,62.06264054,137.4129846,5.061828808
